id,grupo_id,grupo_nombre,nombre,categoria,precio,variante,icono,sabores,ingredientes,imagen,imagen_alt,color_acento,orden,activo,estado_datos
mega-berry-maracuya,mega-berry,Mega Berry,Mega Berry Maracuyá,Coctelería,185,Maracuyá,🟡,Tropical|Dulce|Intenso,Tequila|Triple sec|Cerveza Corona|Maracuyá|Azúcar|Limón,assets/images/mega-maracuya.jpg,Mega Berry de maracuyá,#F1B52A,92,TRUE,Pendiente de validar
mojito,mojito,Mojito,Mojito,Coctelería,40,,🌿,Herbal|Cítrico|Refrescante,Ron blanco|Hierbabuena|Limón|Azúcar|Agua con gas|Sprite,assets/images/mojito.jpg,Mojito con hierbabuena y limón,#54A65C,100,TRUE,Confirmado
negroni,negroni,Negroni,Negroni,Coctelería,65,,🍊,Amargo|Herbal|Intenso,Gin|Vermut rosso|Campari|Naranja,assets/images/negroni.jpg,Negroni con naranja,#C6482D,110,TRUE,Confirmado
pecera,pecera,Pecera,Pecera,Coctelería,60,,🍬,Dulce|Cítrico|Azul,Vodka|Tequila|Ron blanco|Blue curaçao|Gomitas,assets/images/pecera.jpg,Cóctel Pecera azul con gomitas,#2F79B7,120,TRUE,Confirmado
pina-colada,pina-colada,Piña Colada,Piña Colada,Coctelería,60,,🍍,Cremoso|Tropical|Dulce,Ron blanco|Piña|Leche evaporada|Leche condensada|Coco|Cereza,assets/images/pina-colada.jpg,Piña colada cremosa,#E8D8A0,130,TRUE,Confirmado
tequila-sunrise,tequila-sunrise,Tequila Sunrise,Tequila Sunrise,Coctelería,55,,🍊,Frutal|Cítrico|Dulce,Tequila|Jugo cítrico|Granadina|Limón|Cereza,assets/images/tequila-sunrise.jpg,Tequila Sunrise con degradado naranja,#F07E3C,140,TRUE,Confirmado
vampire-sips,vampire-sips,Vampire Sips,Vampire Sips,Coctelería,60,,🍒,Frutal|Herbal|Burbujeante,Vodka|Ron blanco|Frutos rojos|Ginger ale|Hierbabuena|Limón,assets/images/vampire-sips.jpg,Vampire Sips de frutos rojos,#8F1D3E,150,TRUE,Confirmado
singroni,singroni,Singroni,Singroni,Coctelería,65,,🍊,Amargo|Herbal|Intenso,Singani|Vermut rosso|Campari|Naranja,assets/images/singroni.jpg,Singroni con naranja,#A33A28,160,TRUE,Confirmado
vodka-sunrise,vodka-sunrise,Vodka Sunrise,Vodka Sunrise,Coctelería,45,,🍊,Frutal|Cítrico|Dulce,Vodka|Jugo cítrico|Granadina|Limón|Cereza,assets/images/tequila-sunrise.jpg,Vodka Sunrise con degradado naranja,#F29347,170,TRUE,Confirmado
soda-italiana-arandanos,soda-italiana,Soda Italiana,Soda Italiana de Arándanos,Mocktails,29,Arándanos,🫐,Frutal|Burbujeante|Refrescante,Sirope de arándanos|Agua con gas|Limón deshidratado,assets/images/soda-italiana-arandanos.jpg,Soda italiana de arándanos,#5D4A8E,210,TRUE,Confirmado
soda-italiana-frutos-rojos,soda-italiana,Soda Italiana,Soda Italiana de Frutos Rojos,Mocktails,29,Frutos Rojos,🍒,Frutal|Burbujeante|Refrescante,Sirope de frutos rojos|Agua con gas|Limón deshidratado,assets/images/soda-italiana-frutos-rojos.jpg,Soda italiana de frutos rojos,#BC3158,211,TRUE,Confirmado
tentacion-arandanos,tentacion-arandanos,Tentación de Arándanos,Tentación de Arándanos,Mocktails,60,,🫐,Frutal|Dulce|Burbujeante,Arándanos|Frutos rojos|Azúcar|Agua con gas|Ginger ale,assets/images/tentacion-arandanos.jpg,Mocktail Tentación de Arándanos,#4F3D7A,220,TRUE,Confirmado
tequila-sunrise-virgen,tequila-sunrise-virgen,Tequila Sunrise Virgen,Tequila Sunrise Virgen,Mocktails,30,,🍊,Frutal|Cítrico|Dulce,Jugo cítrico|Granadina|Limón|Cereza,assets/images/tequila-sunrise.jpg,Tequila Sunrise sin alcohol,#F68D45,230,TRUE,Confirmado
mojito-virgen,mojito-virgen,Mojito Virgen,Mojito Virgen,Mocktails,30,,🌿,Herbal|Cítrico|Refrescante,Hierbabuena|Limón|Azúcar|Agua con gas|Sprite,assets/images/mojito.jpg,Mojito sin alcohol,#68AE62,240,TRUE,Confirmado
pina-colada-virgen,pina-colada-virgen,Piña Colada Virgen,Piña Colada Virgen,Mocktails,45,,🍍,Cremoso|Tropical|Dulce,Piña|Leche evaporada|Leche condensada|Coco|Cereza,assets/images/pina-colada.jpg,Piña colada sin alcohol,#E7D499,250,TRUE,Confirmado
soda-italiana-pina,soda-italiana,Soda Italiana,Soda Italiana de Piña,Mocktails,25,Piña,🍍,Tropical|Burbujeante|Refrescante,Sirope de piña|Agua con gas|Limón deshidratado,assets/images/soda-italiana-pina.jpg,Soda italiana de piña,#E7D34C,212,TRUE,Confirmado
